Source Table,dH_max/A,tau_min,tic520_sp,X_good_avg,CH4_yield_corr,source,pp_H2O
Lab_for_RDF_reconciliation,60.199372334,0.342973693,1450,0.82867,0.02520854,Lab,38.8968
Lab_for_RDF_reconciliation,79.818249582,0.2661181979,1450,0.767511,0.048149753,Lab,40.0719
Lab_for_RDF_reconciliation,65.036149871,0.3425707166,1450,0.780316,0.0217539261,Lab,34.6744
Lab_for_RDF_reconciliation,75.08923591,0.2986526289,1450,0.791203,0.0263044206,Lab,35.203
Lab_for_RDF_reconciliation,66.204938654,0.3451993143,1450,0.749309,0.0171842415,Lab,34.5207
Lab_for_RDF_reconciliation,74.91436778,0.3004984361,1450,0.772543,0.0281828559,Lab,35.322
Lab_for_RDF_reconciliation,74.907891246,0.2854999629,1450,0.73077,0.0321585563,Lab,34.6004
Lab_for_RDF_reconciliation,85.122819646,0.2482783667,1450,0.762901,0.0399095319,Lab,35.5053
Lab_for_RDF_reconciliation,74.400922426,0.2890008254,1450,0.732706,0.0290710391,Lab,34.7196
Lab_for_RDF_reconciliation,84.938922862,0.2521670306,1450,0.74579,0.0375809984,Lab,35.4292
Lab_for_RDF_reconciliation,66.528029954,0.3316884017,1450,0.80514,0.0230736101,Lab,34.6317
Lab_for_RDF_reconciliation,75.022596346,0.2833813212,1450,0.744146,0.0353001716,Lab,34.7562
Lab_for_RDF_reconciliation,74.514328398,0.2812202165,1450,0.758742,0.0307925844,Lab,34.5116
Lab_for_RDF_reconciliation,79.342939763,0.2640017644,1450,0.777649,0.0294267808,Lab,39.2557
Lab_for_RDF_reconciliation,39.270333225,0.4970988214,1450,0.891109,0.0053025089,Lab,39.1256
Lab_for_RDF_reconciliation,44.412747519,0.4438881012,1450,0.829536,0.0085464168,Lab,39.1429
Lab_for_RDF_reconciliation,59.981682687,0.3422519731,1450,0.823209,0.0174013188,Lab,39.0835
Lab_for_RDF_reconciliation,39.412972864,0.4910310162,1450,0.910177,0.0060405669,Lab,39.0979
Lab_for_RDF_reconciliation,88.187596357,0.2357568808,1450,0.7443,0.0434934599,Lab,39.5845
Lab_for_RDF_reconciliation,44.47473202,0.4424176977,1450,0.843644,0.0103911397,Lab,39.1272
Lab_for_RDF_reconciliation,59.873422454,0.3405790962,1450,0.830277,0.0144625563,Lab,39.1386
Lab_for_RDF_reconciliation,79.536031483,0.2580584085,1450,0.799115,0.0306286447,Lab,39.3348
Lab_for_RDF_reconciliation,81.716619597,0.2578989718,1450,0.80276,0.0340576779,Lab,39.403
Lab_for_RDF_reconciliation,41.04621666,0.4898733408,1450,0.86511,0.007173395,Lab,35.7599
Lab_for_RDF_reconciliation,60.070590667,0.342149787,1450,0.814903,0.0154087108,Lab,39.199
Lab_for_RDF_reconciliation,81.372995812,0.2446598236,1450,0.787929,0.038147601,Lab,39.5756
Lab_for_RDF_reconciliation,43.277926428,0.4485705752,1450,0.895599,0.0094724232,Lab,37.8398
